Geneid	temporary/samtools/bam_files_sorted/SRR7959195_sorted.bam
100287102	0
653635	1
102466751	1
100302278	0
645520	0
79501	0
729737	1
102725121	3
102723897	0
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	2033
81399	0
100133331	4
100288069	7
400728	37
79854	9
643837	112
284593	1
100130417	1
148398	9
26155	265
339451	44
84069	167
84808	66
57801	13
9636	63
375790	252
105369174	0
105378948	7
401934	14
54991	83
254099	0
406984	3
406983	1
554210	0
254173	6
8784	53
7293	13
51150	430
126792	64
388581	11
118424	150
6339	36
116983	610
102465434	0
126789	62
54973	267
102465435	2
80772	65
83756	43
1855	254
102466740	0
54587	495
54998	162
81669	1493
148413	69
55052	232
441869	22
643965	1
102724312	3
64856	64
219293	4
83858	168
55210	53
339453	4
29101	225
643988	11
142678	275
8510	1
984	84
728661	287
8511	0
728642	51
9906	125
65220	255
2782	1532
105378949	4
163688	6
339456	4
85452	1
2563	1
5590	84
100506504	13
199990	90
105378592	33
6497	500
105378594	35
79906	77
100129534	13
11079	718
5192	85
9651	51
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	9
63976	19
100422968	0
27237	50
1953	782
693135	0
127262	423
49856	77
7161	64
57212	179
148870	1
388588	7
57470	284
9731	263
1677	41
339448	146
100133612	0
728716	0
284661	0
55966	26
100616489	0
100616421	0
261734	115
8514	112
26038	7
6146	1490
102724450	1
388591	30
23463	679
148645	0
390992	0
387509	115
11332	86
54626	105
83715	137
100422975	1
8718	180
57449	1004
79707	347
80835	8
3104	154
9903	349
148479	159
90326	70
55735	159
100505887	0
23261	195
9341	867
8863	752
10911	4
3604	6
11315	377
54206	322
102724539	0
50651	7
473	750
102724552	14
2023	3578
102465436	0
100505975	2
765	232
155184	1
6518	27
80045	71
407040	2
9563	1510
80176	229
100506022	16
84275	24
199953	75
5293	122
644997	3
101929074	5
22883	1051
56998	1627
84328	227
64802	86
100847055	0
105376719	1
116362	123
10277	787
23095	1974
100422970	1
5226	453
100526739	0
378708	4
1325	5
1676	120
5195	72
54897	595
148345	3
23435	884
10747	107
6723	61
5394	632
2475	763
100873935	3
10218	63
29914	123
57540	1
101929181	0
26232	45
93611	189
26270	59
10459	95
374946	5
57085	129
284498	0
102724659	0
4524	360
1185	244
100379251	3
4878	3
4879	0
26829	26
90231	185
5351	292
9927	1046
60672	74
102466982	0
943	16
102465836	0
7133	214
100616438	0
55187	4717
677885	2
9249	355
102466722	1
343066	0
126767	146
93190	1
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	4
10630	76
7799	713
23254	207
200197	22
55092	72
727684	12
114827	11
101927417	2
79180	206
11330	2
63036	1
51032	0
842	36
23341	363
79814	11
84301	164
6248	88
23207	447
284723	21
388595	0
54751	134
440567	62
729614	49
23013	1096
7709	128
101928566	0
149563	0
27129	119
1187	0
1188	2
348487	1
1969	197
128272	110
101927546	5
79363	20
54455	494
26099	478
374955	9
55707	442
114819	152
26871	0
100126512	9
100126517	0
102724970	2
100133301	0
7195	0
55672	107
84809	179
11209	15
26869	0
729574	0
100126533	7
284729	1
100189045	0
102723383	0
6060	4
11223	11
100500876	0
100189298	0
7193	1
791226	0
9696	215
26870	0
4237	52
23400	109
6390	323
11240	164
29943	67
51702	3
100616188	0
23569	2
353238	1
55920	535
55160	615
81569	2
101927876	0
84966	7
127707	8
5081	0
80834	0
8659	98
100616120	0
100302276	2
126917	1456
23352	3606
23065	489
51154	157
246181	14
22977	28
100506730	44
8574	237
54896	70
832	597
100532736	0
440574	167
644068	19
4681	23
3362	5
255104	121
54546	4
23252	259
30814	0
5320	24
5322	18
26279	1
64600	79
391013	0
127733	53
101928017	1
127731	7
339505	0
55450	69
79594	182
163933	2
978	20
65018	195
102464833	0
100861548	72
1650	870
