Geneid	temporary/samtools/bam_files_sorted/SRR7959191_sorted.bam
100287102	0
653635	5
102466751	0
100302278	0
645520	0
79501	0
729737	2
102725121	0
102723897	1
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	30
81399	0
100133331	2
100288069	1
400728	2
79854	2
643837	38
284593	0
100130417	3
148398	1
26155	219
339451	23
84069	107
84808	37
57801	57
9636	78
375790	248
105369174	0
105378948	3
401934	6
54991	38
254099	0
406984	0
406983	2
554210	0
254173	1
8784	72
7293	16
51150	489
126792	75
388581	5
118424	159
6339	11
116983	464
102465434	0
126789	61
54973	242
102465435	1
80772	118
83756	20
1855	336
102466740	0
54587	562
54998	195
81669	484
148413	60
55052	252
441869	34
643965	0
102724312	2
64856	132
219293	5
83858	51
55210	43
339453	1
29101	261
643988	20
142678	266
8510	4
984	69
728661	166
8511	0
728642	28
9906	68
65220	241
2782	1264
105378949	13
163688	1
339456	2
85452	0
2563	1
5590	78
100506504	4
199990	62
105378592	9
6497	610
105378594	20
79906	37
100129534	3
11079	625
5192	84
9651	32
55229	1
388585	0
115110	0
8764	0
100996583	0
127281	1
79258	0
100287898	1
140625	0
440556	3
63976	9
100422968	0
27237	20
1953	569
693135	0
127262	395
49856	76
7161	32
57212	78
148870	1
388588	4
57470	184
9731	132
1677	20
339448	80
100133612	0
728716	0
284661	0
55966	9
100616489	0
100616421	3
261734	80
8514	153
26038	0
6146	1129
102724450	0
388591	10
23463	592
148645	0
390992	0
387509	248
11332	119
54626	85
83715	92
100422975	0
8718	91
57449	518
79707	213
80835	6
3104	133
9903	408
148479	99
90326	88
55735	92
100505887	0
23261	113
9341	700
8863	296
10911	11
3604	2
11315	407
54206	197
102724539	0
50651	7
473	462
102724552	4
2023	2336
102465436	0
100505975	2
765	57
155184	0
6518	18
80045	98
407040	1
9563	1179
80176	180
100506022	8
84275	13
199953	36
5293	109
644997	4
101929074	6
22883	914
56998	1660
84328	137
64802	98
100847055	0
105376719	1
116362	74
10277	420
23095	935
100422970	0
5226	308
100526739	0
378708	2
1325	1
1676	120
5195	67
54897	516
148345	2
23435	350
10747	18
6723	102
5394	313
2475	349
100873935	3
10218	57
29914	81
57540	0
101929181	0
26232	45
93611	104
26270	29
10459	74
374946	3
57085	128
284498	0
102724659	0
4524	236
1185	108
100379251	1
4878	2
4879	0
26829	23
90231	225
5351	278
9927	653
60672	57
102466982	0
943	11
102465836	0
7133	247
100616438	0
55187	1497
677885	1
9249	247
102466722	0
343066	0
126767	1
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	78
7799	304
23254	163
200197	8
55092	50
727684	1
114827	6
101927417	0
79180	232
11330	1
63036	0
51032	1
842	25
23341	171
79814	6
84301	82
6248	25
23207	457
284723	12
388595	1
54751	65
440567	57
729614	47
23013	455
7709	94
101928566	0
149563	0
27129	73
1187	0
1188	1
348487	2
1969	197
128272	138
101927546	1
79363	23
54455	293
26099	590
374955	0
55707	383
114819	71
26871	0
100126512	13
100126517	0
102724970	0
100133301	0
7195	0
55672	28
84809	80
11209	3
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	18
11223	2
100500876	0
100189298	0
7193	0
791226	2
9696	251
26870	3
4237	72
23400	128
6390	277
11240	83
29943	38
51702	1
100616188	0
23569	1
353238	1
55920	502
55160	520
81569	0
101927876	0
84966	10
127707	2
5081	0
80834	0
8659	127
100616120	0
100302276	0
126917	1343
23352	1479
23065	313
51154	157
246181	2
22977	5
100506730	14
8574	244
54896	61
832	630
100532736	0
440574	218
644068	8
4681	40
3362	5
255104	96
54546	2
23252	81
30814	0
5320	127
5322	10
26279	1
64600	77
391013	2
127733	36
101928017	0
127731	1
339505	0
55450	47
79594	135
163933	4
978	34
65018	172
102464833	0
100861548	25
1650	814
57576	8
400745	2
50809	738
8672	274
100302155	0
1889	560
100506801	8
84224	31
249	21
5909	8
84196	230
401944	17
3339	2809
23436	0
10136	0
101928043	3
29092	70
998	1644
54361	320
100616433	0
9923	232
2046	0
102466615	0
712	1083
714	513
713	760
2048	26
100616391	0
100422914	0
646262	0
729059	0
23028	307
100422866	0
100616177	0
7798	279
3352	0
100996511	46
10236	710
80818	443
148898	26
6920	266
55616	462
1870	70
101928163	4
3399	239
259283	0
6135	5214
6924	235
100506963	3
57095	415
11313	129
2582	43
3155	145
2517	460
1269	1
100616492	0
55629	238
10772	335
127294	17
58985	216
163702	77
284632	2
57822	252
90529	27
57185	221
100750325	0
11123	141
100506985	24
400746	13
10250	259
25932	854
864	86
102465437	2
100616365	0
25949	180
57035	293
6007	4
23585	193
6006	12
55219	142
26119	118
57134	145
57190	297
56181	131
646471	29
79000	2
164091	287
3925	231
100500808	0
5051	168
2134	11
7780	5
105376910	0
84676	21
149420	87
79927	37
105376887	0
51042	37
10256	31
378807	0
101928303	1
64793	93
83442	738
91544	45
1043	130
55057	213
257101	4
79727	0
79947	220
101928324	8
3151	161
6195	182
100302190	0
101928728	9
8289	406
55650	110
84243	133
2810	1644
54707	64
63906	52
10726	226
8431	0
126695	49
388610	40
115572	195
6548	102
23038	273
84065	127
644961	53
100887744	0
84958	412
9064	432
8547	3
388611	5
2827	2
10163	1064
27245	199
2268	35
2537	255
199870	137
23673	331
5511	281
677774	20
9473	101
6118	221
27293	7
55113	50
2140	242
5724	149
22826	262
93974	310
83667	96
54797	85
65979	191
1104	105
8420	100
6080	14660
26768	9346
54952	121
85028	48
692212	2
677838	132
677825	15
692073	34
115273	8
6883	114
26824	55
10691	54
105376911	0
51441	278
4985	0
2035	278
399474	34
6429	204
51102	76
10076	148
101928460	1
101929406	0
4146	3
100129196	13
7805	404
100616164	0
400748	0
9672	202
9698	622
692234	0
692235	0
692200	1
79570	4
9410	237
51538	144
2170	47
347735	107
149086	0
284551	0
64129	177
3061	5
553115	325
1307	1099
576	10
100423028	0
90853	0
8073	485
10657	467
55116	46
100847018	0
23633	753
200081	569
79140	17
56063	51
55721	18
149069	10
8668	579
339483	27
84734	5
3932	63
3065	220
65108	67
100128071	5
81629	22
55108	461
728116	0
653121	54
339487	70
5928	424
81493	14
57648	597
8565	229
64766	160
252995	31
3208	0
113452	185
127544	195
204	477
113451	27
55223	87
149076	157
127550	0
1912	261
100500853	0
101929464	1
7579	59
114784	3
127540	0
402779	0
84970	0
693137	0
2709	296
127534	216
2707	502
2701	39
113444	180
58512	2
653160	9
100506144	133
9204	105
79830	74
6421	692
9202	253
79932	237
23154	65
339488	16
5690	320
127703	124
63967	9
192670	302
26523	333
192669	210
27285	0
54936	139
1296	312
27095	335
55700	364
9967	574
79729	32
55194	144
83931	301
84967	61
127700	43
64960	179
1441	22
2899	38
100422898	0
728431	25
80149	118
102465438	0
64769	348
100847010	1
79753	157
7802	27
29889	109
284654	87
54955	98
55143	24
284656	2
149175	29
79693	72
127687	114
4520	146
3633	160
10946	256
2275	56
51118	103
5453	133
100500801	1
339442	3
64121	242
100527950	0
26292	0
81025	0
54933	111
79647	218
4725	455
23499	3835
643314	152
105378950	2
353500	21
728448	23
8761	260
101929516	0
677834	1
26508	43
84618	0
51440	0
10450	218
656	21
64064	0
105378951	2
101929536	2
54802	118
4610	270
84879	240
10487	1386
5538	722
6018	178
127391	1
10269	417
1298	31
64744	273
65243	4
339559	14
64789	32
127396	7
9783	78
100130557	17
4802	126
407034	0
407031	0
9132	11
163732	64
1503	91
100507178	9
200172	19
22955	127
100132074	12
1907	1
59269	146
2981	0
2980	0
22887	376
284716	5
84217	2
79717	271
728621	6
10465	83
4904	1009
149461	4
64175	145
79078	36
100129924	0
374969	37
114625	109
51058	47
339539	0
6513	1212
440584	12
105378684	5
440585	12
10969	139
102465439	0
149465	13
128218	55
149466	41
7075	136
4352	4
991	25
64834	777
102466723	0
112950	138
23334	389
102465440	0
81888	5
5792	1751
9682	302
100132774	10
6487	78
101929592	3
102464830	0
9048	3
9670	129
1802	83
533	452
8704	275
149473	17
6536	229
128209	0
105378952	0
55929	70
79033	162
100874278	7
55182	299
100847089	0
79639	13
339541	5
26828	4
26830	8
11004	19
6202	5194
26811	20
94161	3
94162	2
94163	2
266675	4
1263	133
343521	10
149478	24
8643	25
8891	136
79654	199
7389	253
57643	22
400752	8
84842	5
4595	56
114034	36
10420	85
126661	1
25974	33
5052	1584
10327	395
4678	150
149483	22
60313	754
728963	7
51249	102
3652	92
23139	175
8503	102
101929626	1
10103	13
55624	229
541468	9
8438	9
10489	307
7388	540
387338	119
2166	52
729041	2
101929651	0
127343	0
100507423	15
148930	0
8569	161
148932	169
64756	124
374973	2
100130197	3
9813	753
1580	253
163720	15
1579	3
260293	44
199974	19
284541	0
100874253	0
10158	98
6886	43
6491	27
51727	661
102724077	5
2301	0
84793	8
2306	9
388630	34
391037	0
200010	12
54558	120
84871	6
79656	23
101929721	0
100874313	1
1996	0
63950	1
11124	270
1031	128
100616189	1
102466656	0
284546	1
26994	607
22996	65
102724097	1
2060	654
114883	245
4898	812
100313892	0
5865	132
51060	346
112970	0
104355143	0
91408	318
9372	183
200014	185
4998	14
84950	150
23318	169
105378722	0
2882	77
348378	0
65260	52
79699	363
440590	1
55268	210
6342	693
100616156	1
100616458	0
100616145	0
127435	502
6512	28
1376	86
54987	105
4116	121
100507564	2
7804	40
163742	0
63948	0
148979	12
105369175	1
55706	195
54432	117
1733	2
51668	71
115353	88
388633	0
9528	1842
127428	62
100616315	0
200008	2
606495	29
51253	234
23648	84
619518	14
26027	28
338094	0
374977	1
100527960	0
7268	1
25973	31
55001	165
163747	13
1718	2533
100126514	0
199964	7
7809	0
255738	11
23358	547
100507634	1
100616272	0
8613	1973
5563	24
199920	0
731	0
732	0
1600	1
101926890	0
115209	167
4070	2011
114803	199
3725	359
100131060	0
101926925	0
729467	8
55277	82
100616409	0
101926944	2
51361	100
1573	64
127795	1
101926964	2
100996570	1
4774	764
645030	3
414927	0
83941	207
10207	345
100422902	0
100422946	0
54596	0
163782	7
7398	114
85440	271
27329	8
84938	52
199899	0
100996301	3
27022	2
102464823	0
29929	118
23421	38
84455	25
79469	2
5236	223
4919	107
101927034	2
148581	0
57685	183
100616338	2
55225	79
3716	1259
101927084	10
105378775	16
100500854	2
406893	2
205	229
9829	20
54741	883
3953	2069
5142	115
101927139	0
84251	11
100422871	0
200132	4
10022	0
79819	27
57708	215
23169	208
400757	0
149233	1
3595	17
26135	1238
1647	85
55970	1645
100289178	16
9077	65
79971	698
100302279	3
6121	1
55635	10
101927220	0
57554	12
5301	0
55631	107
9295	483
81573	237
11147	7
1491	15
101927244	0
5733	273
100132618	12
9406	196
406962	0
100852410	0
257194	156
100852409	1
101927295	0
127255	3
100526835	0
8790	103
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	173
127253	67
431707	0
204962	167
34	105
1744	18
5876	207
692085	0
26805	3
26804	6
4438	2
127247	0
101927342	0
256435	18
81849	7
102466995	0
10026	186
26289	24
26009	200
23032	308
374986	156
374987	0
91624	53
8880	280
11080	171
54810	83
149047	0
5737	264
10964	69
10561	56
64123	107
101927412	0
23266	340
101927434	0
101927498	0
101927587	6
101927560	7
79739	17
5567	145
148418	12
391051	0
58511	0
80135	160
2787	233
100505741	21
1486	147
103695366	0
439927	0
117178	35
23566	135
255231	44
55283	122
126820	4
100616481	0
84144	46
148423	84
8915	161
646626	1
23576	106
3491	37
54680	113
255631	10
57489	48
102465842	0
9635	970
1179	2
22802	228
9629	1
105378828	5
51100	553
9403	623
9653	140
339524	41
101927844	1
105378832	0
8543	344
100505768	1
101927891	0
5586	275
2959	211
56267	136
494115	110
2635	60
2633	62
2634	338
388646	1
115361	85
115362	33
729930	0
163351	9
400759	5
23507	194
84230	233
400761	4
55144	82
105378846	4
492303	4
284695	51
343472	0
84146	168
164045	6
8317	15
7049	1683
676	0
