Geneid	temporary/samtools/bam_files_sorted/SRR7959199_sorted.bam
100287102	0
653635	4
102466751	2
100302278	0
645520	0
79501	0
729737	11
102725121	0
102723897	2
102465909	0
729759	0
100132287	1
105378947	0
101928626	0
102465432	0
81399	0
100133331	6
100288069	8
400728	23
79854	17
643837	91
284593	0
100130417	2
148398	5
26155	313
339451	45
84069	156
84808	73
57801	42
9636	258
375790	508
105369174	0
105378948	6
401934	13
54991	100
254099	1
406984	3
406983	1
554210	1
254173	5
8784	58
7293	8
51150	594
126792	144
388581	4
118424	229
6339	32
116983	897
102465434	0
126789	76
54973	433
102465435	1
80772	161
83756	47
1855	445
102466740	0
54587	715
54998	267
81669	1530
148413	78
55052	365
441869	25
643965	0
102724312	4
64856	183
219293	7
83858	118
55210	90
339453	9
29101	407
643988	23
142678	424
8510	9
984	146
728661	509
8511	0
728642	97
9906	181
65220	343
2782	2330
105378949	4
163688	4
339456	2
85452	5
2563	6
5590	103
100506504	14
199990	144
105378592	31
6497	1016
105378594	47
79906	72
100129534	12
11079	969
5192	135
9651	66
55229	5
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	1
100287898	1
140625	0
440556	9
63976	29
100422968	0
27237	92
1953	1373
693135	0
127262	607
49856	99
7161	66
57212	164
148870	4
388588	10
57470	390
9731	292
1677	48
339448	192
100133612	0
728716	0
284661	0
55966	11
100616489	0
100616421	0
261734	159
8514	156
26038	6
6146	1816
102724450	0
388591	33
23463	809
148645	0
390992	0
387509	316
11332	136
54626	163
83715	153
100422975	0
8718	192
57449	933
79707	455
80835	16
3104	176
9903	647
148479	206
90326	98
55735	212
100505887	0
23261	224
9341	1348
8863	1375
10911	7
3604	9
11315	663
54206	516
102724539	1
50651	4
473	930
102724552	14
2023	5763
102465436	0
100505975	4
765	260
155184	0
6518	21
80045	142
407040	1
9563	2079
80176	336
100506022	17
84275	32
199953	86
5293	154
644997	4
101929074	5
22883	1509
56998	1986
84328	399
64802	130
100847055	0
105376719	2
116362	137
10277	999
23095	2298
100422970	0
5226	510
100526739	0
378708	3
1325	0
1676	199
5195	100
54897	884
148345	1
23435	1073
10747	94
6723	104
5394	782
2475	905
100873935	9
10218	81
29914	223
57540	1
101929181	0
26232	81
93611	191
26270	80
10459	124
374946	3
57085	149
284498	2
102724659	0
4524	444
1185	263
100379251	3
4878	0
4879	0
26829	7
90231	317
5351	373
9927	1423
60672	106
102466982	0
943	21
102465836	0
7133	370
100616438	1
55187	5093
677885	3
9249	423
102466722	2
343066	0
126767	257
93190	2
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	203
7799	941
23254	313
200197	21
55092	84
727684	17
114827	22
101927417	2
79180	282
11330	0
63036	0
51032	1
842	55
23341	391
79814	8
84301	192
6248	99
23207	688
284723	38
388595	0
54751	179
440567	79
729614	63
23013	1446
7709	162
101928566	0
149563	0
27129	147
1187	6
1188	3
348487	3
1969	260
128272	217
101927546	4
79363	23
54455	628
26099	864
374955	9
55707	671
114819	156
26871	0
100126512	6
100126517	1
102724970	0
100133301	0
7195	0
55672	159
84809	240
11209	9
26869	0
729574	0
100126533	6
284729	1
100189045	0
102723383	0
6060	15
11223	4
100500876	0
100189298	0
7193	0
791226	1
9696	400
26870	5
4237	96
23400	192
6390	503
11240	263
29943	11
51702	9
100616188	0
23569	2
353238	0
55920	840
55160	792
81569	1
101927876	0
84966	11
127707	6
5081	1
80834	0
8659	165
100616120	0
100302276	0
126917	2980
23352	4136
23065	637
51154	267
246181	10
22977	23
100506730	64
8574	380
54896	84
832	872
100532736	0
440574	273
644068	10
4681	27
3362	8
255104	174
54546	0
23252	323
30814	0
5320	55
5322	23
26279	0
64600	68
391013	2
127733	69
101928017	2
127731	3
339505	0
55450	155
79594	266
163933	6
978	63
65018	269
102464833	0
100861548	78
1650	1104
57576	36
400745	2
50809	1860
8672	830
100302155	0
1889	839
100506801	16
84224	154
249	21
5909	48
84196	822
401944	40
3339	4775
23436	0
10136	0
101928043	0
29092	86
998	3108
54361	406
100616433	0
9923	690
2046	0
102466615	0
712	938
714	473
713	441
2048	70
100616391	0
100422914	0
646262	0
729059	1
23028	780
100422866	0
100616177	1
7798	874
3352	0
100996511	260
10236	2105
80818	930
148898	43
6920	532
55616	900
1870	81
101928163	3
3399	278
259283	0
6135	6546
6924	547
100506963	4
57095	578
11313	185
2582	90
3155	231
2517	497
1269	2
100616492	0
55629	976
10772	1203
127294	28
58985	253
163702	128
284632	0
57822	432
90529	58
57185	640
100750325	0
11123	347
100506985	93
400746	38
10250	940
25932	2866
864	205
102465437	1
100616365	0
25949	466
57035	855
6007	22
23585	292
6006	9
55219	415
26119	253
57134	306
57190	417
56181	271
646471	53
79000	7
164091	344
3925	362
100500808	0
5051	264
2134	47
7780	10
105376910	1
84676	24
149420	380
79927	52
105376887	0
51042	60
10256	58
378807	0
101928303	1
64793	179
83442	532
91544	92
1043	83
55057	218
257101	19
79727	4
79947	409
101928324	26
3151	412
6195	323
100302190	0
101928728	32
8289	821
55650	186
84243	188
2810	1792
54707	141
63906	117
10726	387
8431	2
126695	67
388610	62
115572	691
6548	199
23038	421
84065	171
644961	44
100887744	0
84958	451
9064	820
8547	5
388611	29
2827	3
10163	1765
27245	446
2268	73
2537	1231
199870	389
23673	824
5511	469
677774	30
9473	131
6118	389
27293	10
55113	59
2140	465
5724	184
22826	575
93974	444
83667	120
54797	93
65979	534
1104	131
8420	218
6080	5227
26768	5498
54952	188
85028	113
692212	4
677838	182
677825	29
692073	32
115273	8
6883	172
26824	110
10691	136
105376911	0
51441	572
4985	0
2035	773
399474	92
6429	482
51102	196
10076	312
101928460	3
101929406	0
4146	1
100129196	16
7805	711
100616164	0
400748	0
9672	376
9698	1585
692234	0
692235	0
692200	2
79570	3
9410	406
51538	296
2170	104
347735	159
149086	0
284551	0
64129	303
3061	14
553115	595
1307	2400
576	12
100423028	0
90853	2
8073	1601
10657	1067
55116	89
100847018	0
23633	1539
200081	1121
79140	40
56063	117
55721	65
149069	37
8668	832
339483	99
84734	3
3932	87
3065	459
65108	129
100128071	17
81629	55
55108	873
728116	1
653121	240
339487	149
5928	976
81493	63
57648	921
8565	437
64766	432
252995	43
3208	2
113452	178
127544	378
204	1133
113451	53
55223	144
149076	346
127550	1
1912	533
100500853	2
101929464	2
7579	122
114784	12
127540	0
402779	0
84970	0
693137	0
2709	386
127534	252
2707	651
2701	46
113444	356
58512	5
653160	47
100506144	197
9204	430
79830	349
6421	2815
9202	1075
79932	572
23154	113
339488	26
5690	528
127703	198
63967	39
192670	1013
26523	755
192669	649
27285	2
54936	200
1296	384
27095	480
55700	511
9967	1905
79729	181
55194	172
83931	452
84967	87
127700	68
64960	261
1441	30
2899	44
100422898	0
728431	36
80149	209
102465438	1
64769	625
100847010	2
79753	272
7802	47
29889	421
284654	183
54955	189
55143	20
284656	8
149175	31
79693	126
127687	158
4520	316
3633	408
10946	662
2275	92
51118	233
5453	225
100500801	6
339442	4
64121	437
100527950	6
26292	3
81025	0
54933	140
79647	458
4725	564
23499	13570
643314	544
105378950	7
353500	37
728448	92
8761	525
101929516	7
677834	7
26508	89
84618	0
51440	4
10450	358
656	53
64064	3
105378951	4
101929536	2
54802	285
4610	382
84879	524
10487	2462
5538	1311
6018	1017
127391	0
10269	738
1298	72
64744	507
65243	17
339559	69
64789	106
127396	67
9783	145
100130557	50
4802	340
407034	2
407031	0
9132	54
163732	130
1503	178
100507178	24
200172	26
22955	279
100132074	16
1907	3
59269	471
2981	0
2980	0
22887	959
284716	38
84217	12
79717	448
728621	31
10465	153
4904	1495
149461	8
64175	297
79078	58
100129924	1
374969	64
114625	210
51058	69
339539	3
6513	1223
440584	15
105378684	10
440585	27
10969	238
102465439	0
149465	33
128218	79
149466	60
7075	244
4352	10
991	51
64834	1234
102466723	0
112950	309
23334	971
102465440	0
81888	5
5792	3294
9682	683
100132774	24
6487	136
101929592	2
102464830	2
9048	11
9670	223
1802	112
533	530
8704	365
149473	43
6536	347
128209	1
105378952	0
55929	160
79033	331
100874278	18
55182	458
100847089	0
79639	28
339541	8
26828	4
26830	11
11004	41
6202	7475
26811	13
94161	16
94162	7
94163	3
266675	9
1263	171
343521	12
149478	42
8643	63
8891	276
79654	392
7389	480
57643	49
400752	10
84842	9
4595	103
114034	68
10420	158
126661	3
25974	90
5052	2096
10327	621
4678	390
149483	43
60313	1725
728963	28
51249	177
3652	186
23139	411
8503	281
101929626	1
10103	54
55624	393
541468	31
8438	40
10489	517
7388	776
387338	253
2166	78
729041	1
101929651	0
127343	1
100507423	31
148930	0
8569	365
148932	324
64756	311
374973	0
100130197	10
9813	2234
1580	351
163720	52
1579	49
260293	145
199974	20
284541	5
100874253	2
10158	175
6886	97
6491	78
51727	2224
102724077	10
2301	0
84793	16
2306	15
388630	55
391037	5
200010	43
54558	345
84871	15
79656	28
101929721	0
100874313	0
1996	9
63950	0
11124	715
1031	172
100616189	1
102466656	0
284546	0
26994	1244
22996	103
102724097	0
2060	2327
114883	844
4898	1884
100313892	0
5865	332
51060	454
112970	0
104355143	5
91408	672
9372	765
200014	407
4998	28
84950	434
23318	822
105378722	0
2882	94
348378	3
65260	134
79699	1215
440590	7
55268	780
6342	1401
100616156	0
100616458	0
100616145	0
127435	1226
6512	46
1376	173
54987	249
4116	138
100507564	5
7804	68
163742	0
63948	0
148979	19
105369175	4
55706	497
54432	220
1733	9
51668	99
115353	157
388633	1
9528	2487
127428	165
100616315	0
200008	2
606495	54
51253	296
23648	167
619518	35
26027	90
338094	8
374977	4
100527960	1
7268	2
25973	53
55001	208
163747	15
1718	3528
100126514	0
199964	9
7809	0
255738	12
23358	2211
100507634	4
100616272	0
8613	5886
5563	270
199920	0
731	0
732	0
1600	5
101926890	0
115209	276
4070	2064
114803	1046
3725	486
100131060	9
101926925	3
729467	11
55277	187
100616409	0
101926944	4
51361	501
1573	105
127795	1
101926964	9
100996570	3
4774	2506
645030	22
414927	4
83941	251
10207	1510
100422902	0
100422946	0
54596	4
163782	39
7398	737
85440	1121
27329	47
84938	192
199899	0
100996301	6
27022	9
102464823	0
29929	263
23421	120
84455	97
79469	23
5236	420
4919	340
101927034	25
148581	15
57685	544
100616338	1
55225	359
3716	3013
101927084	37
105378775	74
100500854	17
406893	3
205	643
9829	48
54741	1927
3953	1717
5142	366
101927139	4
84251	74
100422871	0
200132	13
10022	0
79819	96
57708	1159
23169	598
400757	1
149233	2
3595	50
26135	2947
1647	143
55970	4428
100289178	47
9077	56
79971	971
100302279	2
6121	5
55635	32
101927220	2
57554	58
5301	0
55631	352
9295	2369
81573	661
11147	12
1491	27
101927244	1
5733	1040
100132618	44
9406	1020
406962	19
100852410	1
257194	723
100852409	2
101927295	0
127255	9
100526835	1
8790	529
51086	0
105378804	4
105378803	0
127254	7
101927320	0
1429	386
127253	263
431707	1
204962	305
34	521
1744	64
5876	499
692085	5
26805	18
26804	19
4438	4
127247	0
101927342	0
256435	67
81849	69
102466995	0
10026	546
26289	42
26009	1036
23032	1193
374986	621
374987	10
91624	316
8880	970
11080	485
54810	202
149047	1
5737	957
10964	1501
10561	696
64123	586
101927412	0
23266	1308
101927434	0
101927498	1
101927587	54
101927560	28
79739	157
5567	600
148418	30
391051	1
58511	2
80135	294
2787	305
100505741	66
1486	337
103695366	0
439927	0
117178	248
23566	198
255231	169
55283	252
126820	15
100616481	0
84144	211
148423	247
8915	357
646626	0
23576	332
3491	133
54680	394
255631	62
57489	350
102465842	0
9635	2749
1179	0
22802	254
9629	2
105378828	17
51100	2050
9403	1045
9653	584
339524	120
101927844	0
105378832	1
8543	811
100505768	9
101927891	1
5586	1173
2959	319
56267	360
494115	381
2635	358
2633	415
2634	886
388646	1
115361	480
115362	136
729930	0
163351	72
400759	20
23507	617
84230	766
400761	14
55144	266
105378846	17
492303	7
284695	252
343472	0
84146	1259
164045	40
8317	81
7049	4227
676	1
253152	10
646817	8
284697	31
23285	92
388649	4
11146	157
79871	296
2672	20
7813	969
6125	5774
388650	291
6083	8
26782	12
22823	472
50999	528
343099	165
100131564	274
1810	1055
54874	771
100126520	2
8412	284
100129046	15
100126348	0
100189133	0
30836	428
2730	177
24	14
9411	2085
5825	1184
2152	533
101928079	7
100616321	0
126969	90
1266	1732
105378862	15
729970	24
199857	73
101928098	5
148534	237
100527978	9
101928118	18
25950	84
440594	8
100996635	20
102723661	0
101928241	0
58155	439
1806	1064
100873932	11
100873933	11
400765	1
100616452	0
406928	0
729987	0
51375	430
163404	3
100129620	0
9890	139
101928270	1
54873	1170
391059	504
178	779
23443	657
64645	878
163786	137
54482	188
127495	19
1629	567
100506007	18
8634	285
693138	4
8556	242
54112	2
100128787	0
7412	425
2135	188
148867	950
51611	133
102606465	38
101928334	6
101928370	13
1901	293
104355286	0
118427	1
94236	0
1301	15
101928436	0
55599	380
280	302
648740	31
279	0
276	0
277	0
278	0
100129138	5
101928476	0
55170	146
22854	25
10451	1991
102465839	0
100873946	2
29957	669
148545	0
653149	0
284611	713
113802	75
55119	341
163479	1
6814	804
254268	15
642864	0
29899	661
23155	727
22911	871
6884	97
56900	810
677766	8961
127003	18
57535	393
6301	1423
1952	1268
84722	30
343263	4
6272	1353
5686	534
284612	20
127002	38
284613	363
57463	155
83873	11
