Geneid	temporary/samtools/bam_files_sorted/SRR7959193_sorted.bam
100287102	0
653635	18
102466751	2
100302278	0
645520	0
79501	0
729737	0
102725121	0
102723897	13
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	175
81399	0
100133331	1
100288069	2
400728	4
79854	11
643837	62
284593	2
100130417	2
148398	2
26155	316
339451	21
84069	104
84808	31
57801	25
9636	70
375790	221
105369174	0
105378948	1
401934	15
54991	56
254099	0
406984	0
406983	2
554210	0
254173	3
8784	46
7293	11
51150	400
126792	83
388581	3
118424	200
6339	14
116983	406
102465434	0
126789	74
54973	301
102465435	1
80772	93
83756	17
1855	246
102466740	0
54587	324
54998	250
81669	834
148413	82
55052	274
441869	17
643965	0
102724312	1
64856	68
219293	3
83858	92
55210	75
339453	5
29101	335
643988	17
142678	183
8510	4
984	87
728661	176
8511	0
728642	44
9906	135
65220	245
2782	1993
105378949	6
163688	3
339456	4
85452	1
2563	1
5590	70
100506504	8
199990	64
105378592	23
6497	455
105378594	10
79906	45
100129534	13
11079	970
5192	81
9651	25
55229	1
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	6
63976	4
100422968	0
27237	28
1953	523
693135	0
127262	573
49856	80
7161	46
57212	127
148870	2
388588	9
57470	312
9731	188
1677	23
339448	147
100133612	0
728716	0
284661	0
55966	8
100616489	0
100616421	0
261734	115
8514	75
26038	1
6146	1905
102724450	0
388591	16
23463	977
148645	1
390992	0
387509	116
11332	165
54626	149
83715	62
100422975	0
8718	117
57449	499
79707	304
80835	7
3104	113
9903	299
148479	105
90326	82
55735	147
100505887	0
23261	213
9341	1281
8863	1176
10911	2
3604	7
11315	572
54206	494
102724539	0
50651	3
473	445
102724552	9
2023	5313
102465436	1
100505975	2
765	222
155184	1
6518	32
80045	89
407040	0
9563	1225
80176	296
100506022	11
84275	27
199953	36
5293	97
644997	3
101929074	6
22883	1030
56998	2299
84328	234
64802	90
100847055	0
105376719	1
116362	94
10277	763
23095	2146
100422970	0
5226	451
100526739	0
378708	8
1325	1
1676	135
5195	52
54897	569
148345	2
23435	1023
10747	47
6723	67
5394	676
2475	689
100873935	5
10218	45
29914	146
57540	0
101929181	0
26232	32
93611	119
26270	56
10459	85
374946	6
57085	114
284498	0
102724659	1
4524	317
1185	180
100379251	1
4878	1
4879	0
26829	36
90231	196
5351	338
9927	1246
60672	86
102466982	0
943	9
102465836	0
7133	218
100616438	0
55187	5144
677885	0
9249	324
102466722	0
343066	1
126767	18
93190	0
390999	1
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	1
645425	0
126755	0
10630	117
7799	660
23254	211
200197	8
55092	53
727684	7
114827	7
101927417	2
79180	193
11330	0
63036	0
51032	1
842	50
23341	446
79814	6
84301	181
6248	113
23207	452
284723	10
388595	0
54751	110
440567	63
729614	46
23013	1073
7709	135
101928566	0
149563	0
27129	88
1187	1
1188	2
348487	3
1969	233
128272	152
101927546	3
79363	21
54455	587
26099	689
374955	3
55707	641
114819	77
26871	2
100126512	5
100126517	0
102724970	0
100133301	1
7195	0
55672	140
84809	119
11209	6
26869	0
729574	0
100126533	2
284729	2
100189045	1
102723383	0
6060	14
11223	2
100500876	0
100189298	0
7193	0
791226	0
9696	141
26870	1
4237	67
23400	109
6390	423
11240	134
29943	36
51702	3
100616188	0
23569	0
353238	0
55920	905
55160	585
81569	0
101927876	0
84966	5
127707	1
5081	1
80834	2
8659	166
100616120	0
100302276	0
126917	3432
23352	3683
23065	517
51154	260
246181	9
22977	15
100506730	22
8574	370
54896	90
832	679
100532736	0
440574	249
644068	8
4681	27
3362	3
255104	88
54546	0
23252	211
30814	0
5320	57
5322	14
26279	0
64600	79
391013	0
127733	41
101928017	2
127731	1
339505	0
55450	76
79594	234
163933	5
978	19
65018	255
102464833	0
100861548	32
1650	1011
57576	13
400745	0
50809	1455
8672	744
100302155	0
1889	546
100506801	7
84224	92
249	21
5909	17
84196	657
401944	11
3339	1953
23436	0
10136	0
101928043	2
29092	50
998	3196
54361	381
100616433	0
9923	446
2046	2
102466615	0
712	840
714	431
713	516
2048	29
100616391	0
100422914	0
646262	0
729059	0
23028	567
100422866	0
100616177	0
7798	892
3352	0
100996511	98
10236	1786
80818	884
148898	11
6920	370
55616	834
1870	103
101928163	0
3399	332
259283	0
6135	6768
6924	580
100506963	2
57095	595
11313	233
2582	87
3155	194
2517	398
1269	4
100616492	0
55629	880
10772	1076
127294	22
58985	247
163702	119
284632	0
57822	618
90529	60
57185	580
100750325	1
11123	262
100506985	91
400746	30
10250	614
25932	2395
864	82
102465437	0
100616365	0
25949	433
57035	426
6007	10
23585	195
6006	14
55219	379
26119	213
57134	133
57190	198
56181	188
646471	31
79000	3
164091	282
3925	434
100500808	0
5051	306
2134	20
7780	5
105376910	2
84676	20
149420	420
79927	32
105376887	1
51042	58
10256	36
378807	0
101928303	1
64793	169
83442	447
91544	53
1043	77
55057	175
257101	13
79727	0
79947	279
101928324	12
3151	363
6195	234
100302190	0
101928728	15
8289	528
55650	193
84243	165
2810	2690
54707	84
63906	80
10726	330
8431	0
126695	68
388610	43
115572	455
6548	124
23038	311
84065	95
644961	17
100887744	0
84958	459
9064	552
8547	3
388611	9
2827	0
10163	1180
27245	212
2268	52
2537	254
199870	265
23673	1010
5511	524
677774	34
9473	74
6118	407
27293	12
55113	45
2140	562
5724	87
22826	553
93974	375
83667	85
54797	73
65979	383
1104	158
8420	135
6080	4330
26768	6116
54952	171
85028	90
692212	2
677838	125
677825	18
692073	21
115273	10
6883	203
26824	66
10691	111
105376911	1
51441	576
4985	0
2035	843
399474	52
6429	345
51102	113
10076	212
101928460	1
101929406	0
4146	2
100129196	11
7805	562
100616164	0
400748	1
9672	179
9698	1509
692234	0
692235	0
692200	3
79570	5
9410	381
51538	239
2170	73
347735	114
149086	0
284551	1
64129	233
3061	11
553115	637
1307	1053
576	3
100423028	0
90853	1
8073	1249
10657	840
55116	73
100847018	0
23633	1650
200081	964
79140	25
56063	69
55721	60
149069	13
8668	852
339483	53
84734	3
3932	86
3065	415
65108	75
100128071	7
81629	14
55108	687
728116	2
653121	114
339487	108
5928	883
81493	45
57648	605
8565	390
64766	294
252995	41
3208	3
113452	228
127544	224
204	945
113451	23
55223	110
149076	177
127550	0
1912	323
100500853	1
101929464	1
7579	117
114784	3
127540	0
402779	0
84970	0
693137	0
2709	644
127534	500
2707	874
2701	57
113444	307
58512	4
653160	16
100506144	138
9204	299
79830	258
6421	1817
9202	1018
79932	338
23154	84
339488	12
5690	627
127703	145
63967	26
192670	842
26523	671
192669	513
27285	4
54936	196
1296	166
27095	449
55700	332
9967	1367
79729	79
55194	104
83931	433
84967	101
127700	67
64960	230
1441	22
2899	63
100422898	0
728431	58
80149	127
102465438	0
64769	553
100847010	1
79753	211
7802	29
29889	376
284654	121
54955	184
55143	40
284656	1
149175	26
79693	109
127687	116
4520	378
3633	338
10946	554
2275	70
51118	246
5453	150
100500801	1
339442	0
64121	469
100527950	2
26292	0
81025	0
54933	203
79647	360
4725	558
23499	13688
643314	273
105378950	3
353500	29
728448	46
8761	370
101929516	6
677834	5
26508	52
84618	1
51440	0
10450	294
656	23
64064	0
105378951	4
101929536	0
54802	229
4610	421
84879	409
10487	2400
5538	1263
6018	881
127391	0
10269	916
1298	37
64744	384
65243	20
339559	62
64789	98
127396	56
9783	121
100130557	28
4802	378
407034	2
