Geneid	temporary/samtools/bam_files_sorted/SRR7959197_sorted.bam
100287102	0
653635	6
102466751	1
100302278	0
645520	0
79501	0
729737	1
102725121	1
102723897	7
102465909	0
729759	0
100132287	0
105378947	1
101928626	0
102465432	96
81399	0
100133331	1
100288069	7
400728	9
79854	3
643837	39
284593	3
100130417	0
148398	3
26155	146
339451	32
84069	155
84808	56
57801	38
9636	28
375790	254
105369174	0
105378948	9
401934	11
54991	55
254099	3
406984	3
406983	2
554210	1
254173	11
8784	77
7293	3
51150	201
126792	62
388581	5
118424	133
6339	15
116983	613
102465434	0
126789	53
54973	229
102465435	0
80772	100
83756	16
1855	263
102466740	0
54587	288
54998	153
81669	523
148413	51
55052	297
441869	29
643965	0
102724312	4
64856	84
219293	7
83858	84
55210	42
339453	9
29101	255
643988	37
142678	221
8510	7
984	52
728661	178
8511	0
728642	21
9906	73
65220	148
2782	930
105378949	9
163688	5
339456	3
85452	3
2563	1
5590	70
100506504	6
199990	84
105378592	20
6497	383
105378594	17
79906	42
100129534	6
11079	514
5192	66
9651	37
55229	0
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	1
440556	9
63976	16
100422968	0
27237	40
1953	725
693135	0
127262	357
49856	62
7161	25
57212	40
148870	1
388588	5
57470	191
9731	140
1677	25
339448	79
100133612	0
728716	0
284661	0
55966	11
100616489	0
100616421	0
261734	107
8514	82
26038	5
6146	1258
102724450	0
388591	17
23463	533
148645	0
390992	0
387509	124
11332	96
54626	135
83715	146
100422975	2
8718	105
57449	621
79707	204
80835	2
3104	87
9903	305
148479	76
90326	56
55735	85
100505887	0
23261	162
9341	555
8863	150
10911	4
3604	3
11315	283
54206	220
102724539	0
50651	6
473	397
102724552	1
2023	2848
102465436	1
100505975	2
765	341
155184	1
6518	18
80045	138
407040	0
9563	940
80176	164
100506022	3
84275	21
199953	42
5293	66
644997	2
101929074	3
22883	768
56998	1943
84328	185
64802	82
100847055	0
105376719	1
116362	62
10277	531
23095	1058
100422970	0
5226	267
100526739	0
378708	4
1325	0
1676	102
5195	44
54897	609
148345	3
23435	415
10747	37
6723	58
5394	383
2475	437
100873935	0
10218	38
29914	78
57540	3
101929181	0
26232	26
93611	87
26270	41
10459	70
374946	2
57085	96
284498	2
102724659	0
4524	193
1185	98
