Geneid	temporary/samtools/bam_files_sorted/SRR7959201_sorted.bam
100287102	0
653635	4
102466751	2
100302278	0
645520	0
79501	0
729737	1
102725121	0
102723897	2
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	0
81399	0
100133331	1
100288069	1
400728	9
79854	9
643837	36
284593	1
100130417	2
148398	3
26155	95
339451	23
84069	75
84808	30
57801	13
9636	13
375790	185
105369174	0
105378948	1
401934	5
54991	41
254099	0
406984	0
406983	0
554210	2
254173	0
8784	17
7293	3
51150	183
126792	43
388581	3
118424	78
6339	26
116983	349
102465434	0
126789	31
54973	152
102465435	1
80772	44
83756	18
1855	167
102466740	0
54587	273
54998	73
81669	616
148413	31
55052	96
441869	6
643965	0
102724312	2
64856	44
219293	2
83858	54
55210	24
339453	4
29101	88
643988	14
142678	157
8510	2
984	53
728661	94
8511	0
728642	38
9906	65
65220	94
2782	659
105378949	7
163688	5
339456	2
85452	0
2563	1
5590	38
100506504	2
199990	55
105378592	14
6497	340
105378594	14
79906	45
100129534	6
11079	280
5192	35
9651	34
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	3
63976	7
100422968	0
27237	25
1953	564
693135	0
127262	184
49856	36
7161	20
57212	66
148870	3
388588	3
57470	106
9731	98
1677	11
339448	57
100133612	2
728716	0
284661	0
55966	6
100616489	0
100616421	0
261734	97
8514	94
26038	3
6146	358
102724450	0
388591	11
23463	285
148645	0
390992	0
387509	114
11332	29
54626	48
83715	64
100422975	0
8718	84
57449	570
79707	169
80835	2
3104	60
9903	170
148479	54
90326	32
55735	73
100505887	0
23261	54
9341	331
8863	278
10911	1
3604	3
11315	106
54206	122
102724539	0
50651	5
473	332
102724552	2
2023	1029
102465436	0
100505975	0
765	79
155184	0
6518	11
80045	37
407040	0
9563	732
80176	83
100506022	6
84275	8
199953	43
5293	59
644997	3
101929074	1
22883	582
56998	623
84328	85
64802	39
100847055	1
105376719	0
116362	23
10277	352
23095	686
100422970	0
5226	138
100526739	0
378708	1
1325	2
1676	70
5195	26
54897	308
148345	2
23435	357
10747	45
6723	36
5394	222
2475	306
100873935	2
10218	29
29914	52
57540	0
101929181	0
26232	10
93611	62
26270	16
10459	32
374946	1
57085	41
284498	1
102724659	0
4524	166
1185	93
100379251	3
4878	1
4879	0
26829	5
90231	96
5351	150
9927	356
60672	37
102466982	0
943	5
102465836	0
7133	88
100616438	0
55187	1792
677885	0
9249	113
102466722	0
343066	0
126767	52
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	29
7799	271
23254	113
200197	8
55092	20
727684	4
114827	4
101927417	0
79180	98
11330	0
63036	0
51032	4
842	13
23341	111
79814	3
84301	58
6248	27
23207	229
284723	12
388595	0
54751	45
440567	15
729614	17
23013	441
7709	65
101928566	0
149563	0
27129	26
1187	1
1188	0
348487	1
1969	117
128272	62
101927546	2
79363	3
54455	195
26099	222
374955	8
55707	162
114819	95
26871	0
100126512	3
100126517	0
102724970	1
100133301	2
7195	0
55672	59
84809	62
11209	8
26869	0
729574	0
100126533	1
284729	1
100189045	0
102723383	0
6060	0
11223	1
100500876	0
100189298	0
7193	0
791226	0
9696	132
26870	3
4237	17
23400	92
6390	95
11240	60
29943	24
51702	3
100616188	0
23569	0
353238	0
55920	284
55160	273
81569	0
101927876	0
84966	4
127707	1
5081	1
80834	0
8659	53
100616120	0
100302276	0
126917	699
23352	1385
23065	176
51154	58
246181	2
22977	6
100506730	18
8574	82
54896	21
832	283
100532736	0
440574	56
644068	4
4681	14
3362	3
255104	38
54546	0
23252	117
30814	0
5320	43
5322	8
26279	0
64600	33
391013	0
127733	21
101928017	0
127731	1
339505	0
55450	24
79594	62
163933	1
978	10
65018	86
102464833	0
100861548	31
1650	260
57576	5
400745	0
50809	544
8672	313
100302155	0
1889	284
100506801	6
84224	45
249	5
5909	14
84196	259
401944	10
3339	2177
23436	0
10136	0
101928043	1
29092	15
998	693
54361	194
100616433	0
9923	213
2046	0
102466615	0
712	252
714	205
713	181
2048	20
100616391	0
100422914	0
646262	0
729059	0
23028	180
100422866	0
100616177	0
7798	237
3352	0
100996511	66
10236	596
80818	286
148898	16
6920	135
55616	278
1870	48
101928163	1
3399	94
259283	0
6135	1263
6924	172
100506963	1
57095	159
11313	60
2582	22
3155	48
2517	113
1269	2
100616492	0
55629	215
10772	304
127294	9
58985	75
163702	40
284632	0
57822	131
90529	18
57185	165
100750325	0
11123	101
100506985	26
400746	7
10250	243
25932	646
864	44
102465437	0
100616365	0
25949	89
57035	289
6007	4
23585	46
6006	3
55219	119
26119	108
57134	83
57190	182
56181	61
646471	29
79000	5
164091	128
3925	74
100500808	0
5051	86
2134	15
7780	3
105376910	1
84676	4
149420	96
79927	6
105376887	0
51042	18
10256	24
378807	0
101928303	0
64793	69
83442	209
91544	35
1043	24
55057	85
257101	3
79727	3
79947	123
101928324	10
3151	68
6195	80
100302190	0
101928728	12
8289	304
55650	67
84243	59
2810	728
54707	37
63906	37
10726	90
8431	0
126695	15
388610	18
115572	103
6548	78
23038	158
84065	52
644961	17
100887744	0
84958	187
9064	272
8547	1
388611	10
2827	2
10163	592
27245	149
2268	20
2537	55
199870	59
23673	243
5511	121
677774	5
9473	37
6118	75
27293	4
55113	23
2140	154
5724	100
22826	106
93974	104
83667	56
54797	31
65979	176
1104	57
8420	82
6080	1131
26768	1484
54952	58
85028	33
692212	2
677838	16
677825	5
692073	6
115273	0
6883	48
26824	10
10691	43
105376911	1
51441	128
4985	0
2035	266
399474	22
6429	179
51102	57
10076	114
101928460	0
101929406	0
4146	1
100129196	8
7805	203
100616164	0
400748	0
9672	124
9698	515
692234	0
692235	0
692200	2
79570	1
9410	72
51538	69
2170	21
347735	57
149086	0
284551	0
64129	117
3061	7
553115	133
1307	707
576	9
100423028	0
90853	0
8073	300
10657	263
55116	38
100847018	1
23633	480
200081	316
79140	12
56063	34
55721	30
149069	10
8668	182
339483	48
84734	3
3932	17
3065	121
65108	24
100128071	5
81629	18
55108	277
728116	1
653121	56
339487	49
5928	261
81493	13
57648	314
8565	139
64766	148
252995	33
3208	2
113452	59
127544	111
204	261
113451	25
55223	68
149076	95
127550	0
1912	187
100500853	1
101929464	2
7579	26
114784	9
127540	0
402779	0
84970	0
693137	0
2709	105
127534	89
2707	165
2701	22
113444	121
58512	4
653160	18
100506144	29
9204	143
79830	87
6421	866
9202	278
79932	195
23154	45
339488	12
5690	157
127703	47
63967	11
192670	322
26523	244
192669	214
27285	2
54936	56
1296	169
27095	111
55700	211
9967	430
79729	91
55194	44
83931	135
84967	26
127700	22
64960	59
1441	18
2899	18
100422898	0
728431	12
80149	75
102465438	2
64769	131
100847010	0
79753	88
7802	10
29889	85
284654	43
54955	47
55143	14
284656	2
149175	11
79693	13
127687	24
4520	102
3633	140
10946	151
2275	30
51118	66
5453	63
100500801	2
339442	1
64121	104
100527950	0
26292	0
81025	0
54933	54
79647	117
4725	129
23499	4586
643314	175
105378950	5
353500	30
728448	36
8761	150
101929516	3
677834	2
26508	38
84618	0
51440	0
10450	74
656	22
64064	1
105378951	0
101929536	1
54802	68
4610	100
84879	92
10487	547
5538	269
6018	183
127391	0
10269	173
1298	17
64744	139
65243	5
339559	18
64789	34
127396	14
9783	49
100130557	14
4802	137
407034	1
407031	0
9132	13
163732	19
1503	64
100507178	16
200172	15
22955	91
100132074	5
1907	0
59269	212
2981	0
2980	0
22887	232
284716	9
84217	3
79717	109
728621	13
10465	45
4904	436
149461	0
64175	109
79078	19
100129924	0
374969	11
114625	71
51058	22
339539	0
6513	354
440584	10
105378684	11
440585	15
10969	39
102465439	0
149465	6
128218	34
149466	9
7075	75
4352	5
991	12
64834	298
102466723	0
112950	81
23334	393
102465440	0
81888	0
5792	1282
9682	227
100132774	13
6487	28
101929592	2
102464830	0
9048	4
9670	91
1802	29
533	139
8704	115
149473	15
6536	139
128209	1
105378952	0
55929	55
79033	92
100874278	8
55182	118
100847089	0
79639	9
339541	4
26828	0
26830	0
11004	19
6202	1421
26811	4
94161	2
94162	2
94163	2
266675	5
1263	64
343521	11
149478	16
8643	33
8891	68
79654	138
7389	113
57643	16
400752	6
84842	2
4595	41
114034	30
10420	65
126661	2
25974	24
5052	397
10327	120
4678	119
149483	23
60313	452
728963	12
51249	40
3652	49
23139	174
8503	83
101929626	0
10103	5
55624	80
541468	7
8438	11
10489	156
7388	99
387338	95
2166	30
729041	1
101929651	0
127343	1
100507423	10
148930	0
8569	99
148932	86
64756	60
374973	6
100130197	3
9813	505
1580	60
163720	11
1579	12
260293	35
199974	6
284541	4
100874253	0
10158	41
6886	29
6491	23
51727	458
102724077	1
2301	1
84793	6
2306	1
388630	18
391037	1
200010	17
54558	93
84871	5
79656	6
101929721	0
100874313	0
1996	4
63950	1
11124	167
1031	48
100616189	0
102466656	0
284546	0
26994	294
22996	45
102724097	0
2060	538
114883	195
4898	628
100313892	0
5865	52
51060	67
112970	0
104355143	6
91408	148
9372	197
200014	146
4998	13
84950	120
23318	239
105378722	0
2882	21
348378	2
65260	34
79699	290
440590	2
55268	279
6342	317
100616156	0
100616458	0
100616145	0
127435	287
6512	15
1376	46
54987	62
4116	24
100507564	3
7804	37
163742	0
63948	0
148979	9
105369175	1
55706	112
54432	59
1733	4
51668	24
115353	42
388633	1
9528	471
127428	71
100616315	0
200008	1
606495	22
51253	98
23648	41
619518	16
26027	30
338094	1
374977	3
100527960	0
7268	2
25973	18
55001	107
163747	6
1718	1132
100126514	0
199964	5
7809	0
255738	6
23358	589
100507634	2
100616272	0
8613	1040
5563	25
199920	1
731	0
732	0
1600	0
101926890	0
115209	51
4070	712
114803	384
3725	167
100131060	0
101926925	1
729467	2
55277	44
100616409	0
101926944	0
51361	122
1573	21
127795	0
101926964	3
100996570	1
4774	697
645030	2
414927	0
83941	71
10207	448
100422902	0
100422946	0
54596	1
163782	8
7398	128
85440	236
27329	4
84938	47
199899	0
100996301	0
27022	0
102464823	0
29929	68
23421	24
84455	27
79469	14
5236	98
4919	93
101927034	15
148581	0
57685	223
100616338	1
55225	117
3716	792
101927084	30
105378775	30
100500854	5
406893	0
205	125
9829	10
54741	402
3953	431
5142	86
101927139	4
84251	14
100422871	1
200132	8
10022	0
79819	22
57708	245
23169	168
400757	0
149233	0
3595	16
26135	772
1647	44
55970	1062
100289178	20
9077	19
79971	269
100302279	1
6121	0
55635	13
101927220	0
57554	14
5301	0
55631	64
9295	737
81573	174
11147	2
1491	9
101927244	0
5733	355
100132618	16
9406	293
406962	15
100852410	0
257194	157
100852409	0
101927295	0
127255	0
100526835	0
8790	139
51086	0
105378804	1
105378803	0
127254	2
101927320	1
1429	93
127253	73
431707	0
204962	5
34	87
1744	39
5876	132
692085	0
26805	6
26804	4
4438	4
127247	0
101927342	0
256435	17
81849	16
102466995	0
10026	83
26289	14
26009	227
23032	307
374986	137
374987	2
91624	76
8880	263
11080	135
54810	51
149047	1
5737	296
10964	94
10561	68
64123	108
101927412	0
23266	344
101927434	0
101927498	0
101927587	17
101927560	11
79739	34
5567	130
148418	5
391051	1
58511	0
80135	64
2787	78
100505741	22
1486	111
103695366	0
439927	1
117178	54
23566	50
255231	23
55283	69
126820	4
100616481	0
84144	38
148423	53
8915	85
646626	0
23576	57
3491	20
54680	89
255631	11
57489	68
102465842	0
9635	621
1179	0
22802	64
9629	0
105378828	5
51100	506
9403	174
9653	124
339524	21
101927844	0
105378832	0
8543	191
100505768	4
101927891	4
5586	328
2959	71
56267	78
494115	80
2635	70
2633	51
2634	213
388646	0
115361	119
115362	33
729930	0
163351	7
400759	6
23507	138
84230	200
400761	5
55144	51
105378846	11
492303	1
284695	91
343472	0
84146	235
164045	7
8317	34
7049	823
676	0
253152	0
646817	0
284697	13
23285	17
388649	1
11146	44
79871	85
2672	5
7813	222
6125	1063
388650	58
6083	3
26782	0
22823	132
50999	113
343099	58
100131564	97
1810	270
54874	173
100126520	0
8412	94
100129046	8
100126348	2
100189133	0
30836	67
2730	40
24	1
9411	670
5825	319
2152	136
101928079	1
100616321	0
126969	31
1266	338
105378862	6
729970	10
199857	11
101928098	2
148534	27
100527978	2
101928118	7
25950	27
440594	2
100996635	3
102723661	0
101928241	0
58155	95
1806	224
100873932	0
100873933	4
400765	0
100616452	0
406928	0
729987	0
51375	126
163404	0
100129620	0
9890	40
101928270	0
54873	236
391059	153
178	202
23443	169
64645	199
163786	28
54482	63
127495	8
1629	149
100506007	3
8634	90
693138	3
8556	71
54112	1
100128787	0
7412	52
2135	62
148867	230
51611	38
102606465	18
101928334	1
101928370	3
1901	55
104355286	1
118427	0
94236	0
1301	31
101928436	0
55599	124
280	61
648740	13
279	0
276	0
277	0
278	0
100129138	0
101928476	0
55170	46
22854	0
10451	592
102465839	0
100873946	0
29957	139
148545	0
653149	0
284611	189
113802	14
55119	100
163479	1
6814	182
254268	2
642864	0
29899	158
23155	177
22911	259
6884	32
56900	166
677766	1266
127003	1
57535	79
6301	342
1952	462
84722	13
343263	0
6272	375
5686	94
284612	3
127002	17
284613	124
57463	55
83873	4
2773	495
406974	1
2780	19
271	80
2948	61
2946	84
2944	52
2949	56
2947	372
79574	1
1435	141
10768	303
85369	145
257	12
104355139	1
164153	0
388662	16
