Geneid	temporary/samtools/bam_files_sorted/SRR7959205_sorted.bam
100287102	0
653635	0
102466751	0
100302278	0
645520	0
79501	0
729737	3
102725121	0
102723897	1
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	1072
81399	0
100133331	4
100288069	0
400728	16
79854	7
643837	38
284593	1
100130417	0
148398	4
26155	117
339451	26
84069	150
84808	35
57801	27
9636	23
375790	264
105369174	1
105378948	6
401934	7
54991	63
254099	0
406984	2
406983	0
554210	3
254173	6
8784	29
7293	7
51150	256
126792	48
388581	8
118424	114
6339	21
116983	489
102465434	0
126789	37
54973	183
102465435	0
80772	53
83756	23
1855	194
102466740	0
54587	315
54998	93
81669	694
148413	29
55052	136
441869	10
643965	0
102724312	1
64856	65
219293	0
83858	82
55210	45
339453	3
29101	117
643988	19
142678	219
8510	1
984	47
728661	119
8511	0
728642	27
9906	59
65220	146
2782	775
105378949	6
163688	5
339456	6
85452	0
2563	1
5590	50
100506504	13
199990	49
105378592	32
6497	434
105378594	12
79906	49
100129534	7
11079	328
5192	48
9651	39
55229	0
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	1
63976	7
100422968	0
27237	26
1953	703
693135	0
127262	243
49856	45
7161	48
57212	77
148870	1
388588	4
57470	165
9731	96
1677	24
339448	57
100133612	2
728716	0
284661	0
55966	4
100616489	0
100616421	1
261734	86
8514	79
26038	3
6146	695
102724450	0
388591	17
23463	305
148645	0
390992	0
387509	132
11332	64
54626	82
83715	88
100422975	0
8718	128
57449	737
79707	186
80835	1
3104	80
9903	254
148479	78
90326	33
55735	105
100505887	0
23261	60
9341	387
8863	312
10911	0
3604	6
11315	180
54206	162
102724539	0
50651	4
473	428
102724552	7
2023	1471
102465436	0
100505975	0
765	84
155184	0
6518	14
80045	60
407040	0
9563	1017
80176	95
100506022	3
84275	3
199953	37
5293	79
644997	1
101929074	2
22883	688
56998	841
84328	104
64802	43
100847055	0
105376719	0
116362	22
10277	465
23095	940
100422970	1
5226	189
100526739	0
378708	3
1325	2
1676	99
5195	33
54897	455
148345	2
23435	446
10747	52
6723	46
5394	269
2475	403
100873935	2
10218	25
29914	85
57540	0
101929181	0
26232	10
93611	87
26270	25
10459	43
374946	2
57085	67
284498	0
102724659	0
4524	198
1185	135
100379251	3
4878	0
4879	0
26829	14
90231	141
5351	148
9927	550
60672	42
102466982	0
943	11
102465836	0
7133	129
100616438	0
55187	2383
677885	0
9249	188
102466722	2
343066	0
126767	168
93190	1
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	1
10630	49
7799	344
23254	124
200197	2
55092	32
727684	5
114827	2
101927417	0
79180	126
11330	1
63036	0
51032	0
842	15
23341	119
79814	2
84301	82
6248	46
23207	299
284723	14
388595	0
54751	53
440567	29
729614	22
23013	590
7709	70
101928566	0
149563	0
27129	49
1187	1
1188	1
348487	2
1969	121
128272	97
101927546	2
79363	11
54455	314
26099	280
374955	9
55707	216
114819	91
26871	0
100126512	1
100126517	0
102724970	0
100133301	0
7195	0
55672	86
84809	88
11209	8
26869	0
729574	0
100126533	3
284729	1
100189045	0
102723383	0
6060	1
11223	2
100500876	0
100189298	0
7193	0
791226	0
9696	185
26870	0
4237	40
23400	79
6390	181
11240	46
29943	30
51702	0
100616188	0
23569	0
353238	0
55920	406
55160	404
81569	0
101927876	0
84966	1
127707	1
5081	0
80834	0
8659	55
100616120	0
100302276	0
126917	894
23352	1682
23065	234
51154	106
246181	5
22977	8
100506730	21
8574	130
54896	43
832	342
100532736	0
440574	63
644068	6
4681	15
3362	2
255104	36
54546	0
23252	109
30814	0
5320	8
5322	9
26279	0
64600	49
391013	0
127733	14
101928017	0
127731	1
339505	0
55450	20
79594	81
163933	4
978	18
65018	77
102464833	0
100861548	37
1650	478
57576	8
400745	0
50809	687
8672	469
100302155	0
1889	393
100506801	6
84224	48
249	5
5909	16
84196	337
401944	11
3339	2125
23436	0
10136	0
101928043	2
29092	38
998	889
54361	266
100616433	0
9923	219
2046	0
102466615	0
712	327
714	231
713	191
2048	17
100616391	0
100422914	0
646262	0
729059	0
23028	267
100422866	0
100616177	0
7798	329
3352	0
100996511	89
10236	797
80818	339
148898	18
6920	246
55616	333
1870	62
101928163	0
3399	117
259283	0
6135	3015
6924	244
100506963	5
