Geneid	temporary/samtools/bam_files_sorted/SRR7959203_sorted.bam
100287102	0
653635	3
102466751	1
100302278	0
645520	0
79501	0
729737	0
102725121	1
102723897	6
102465909	0
729759	0
100132287	0
105378947	1
101928626	0
102465432	1118
81399	0
100133331	4
100288069	2
400728	7
79854	5
643837	41
284593	0
100130417	1
148398	7
26155	186
339451	25
84069	118
84808	55
57801	35
9636	26
375790	324
105369174	0
105378948	2
401934	5
54991	56
254099	0
406984	3
406983	0
554210	4
254173	3
8784	43
7293	7
51150	288
126792	50
388581	12
118424	125
6339	31
116983	467
102465434	0
126789	35
54973	188
102465435	0
80772	96
83756	30
1855	236
102466740	0
54587	350
54998	110
81669	751
148413	38
55052	162
441869	18
643965	0
102724312	6
64856	110
219293	0
83858	84
55210	58
339453	5
29101	170
643988	18
142678	224
8510	0
984	38
728661	157
8511	0
728642	10
9906	45
65220	181
2782	1007
105378949	2
163688	4
339456	5
85452	1
2563	0
5590	53
100506504	7
199990	63
105378592	19
6497	505
105378594	35
79906	67
100129534	7
11079	432
5192	56
9651	27
55229	3
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	1
140625	0
440556	8
63976	20
100422968	0
27237	27
1953	650
693135	1
127262	320
49856	61
7161	60
57212	90
148870	1
388588	4
57470	194
9731	123
1677	23
339448	68
100133612	0
728716	0
284661	0
55966	11
100616489	0
100616421	1
261734	96
8514	109
26038	4
6146	659
102724450	2
388591	11
23463	413
148645	0
390992	0
387509	119
11332	67
54626	91
83715	103
100422975	0
8718	111
57449	693
79707	218
80835	1
3104	83
9903	309
148479	84
90326	35
55735	81
100505887	0
23261	97
9341	418
8863	199
10911	0
3604	9
11315	213
54206	166
102724539	0
50651	2
473	438
102724552	6
2023	2300
102465436	0
100505975	2
765	134
155184	1
6518	15
80045	95
407040	0
9563	983
80176	129
100506022	1
84275	19
199953	51
5293	76
644997	1
101929074	6
22883	945
56998	1023
84328	110
64802	48
100847055	0
105376719	0
116362	35
10277	444
23095	852
100422970	0
5226	240
100526739	0
378708	2
1325	2
1676	99
5195	52
54897	538
148345	1
23435	423
10747	44
6723	59
5394	273
2475	412
100873935	2
10218	27
29914	116
57540	0
101929181	0
26232	30
93611	95
26270	25
10459	58
374946	1
57085	72
284498	0
102724659	0
4524	239
1185	108
100379251	1
4878	2
4879	0
26829	14
90231	163
5351	210
9927	557
60672	51
102466982	0
943	12
102465836	0
7133	156
100616438	0
55187	2101
677885	2
9249	205
102466722	0
343066	1
126767	236
93190	0
390999	2
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	3
10630	42
7799	359
23254	158
200197	5
55092	35
727684	3
114827	1
101927417	0
79180	166
11330	1
63036	0
51032	4
842	26
23341	218
79814	5
84301	105
6248	39
23207	345
284723	15
388595	0
54751	92
440567	26
729614	31
23013	560
7709	95
101928566	0
149563	0
27129	47
1187	1
1188	1
348487	0
1969	201
128272	151
101927546	3
79363	7
54455	302
26099	403
374955	3
55707	247
114819	63
26871	0
100126512	3
100126517	1
102724970	0
100133301	0
7195	0
55672	89
84809	105
11209	13
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	4
11223	4
100500876	0
100189298	0
7193	0
791226	0
9696	226
26870	1
4237	34
23400	104
6390	218
11240	120
29943	41
51702	7
100616188	0
23569	0
353238	0
55920	420
55160	443
81569	0
101927876	0
84966	10
127707	0
5081	0
80834	0
8659	101
100616120	0
100302276	0
126917	1290
23352	1919
23065	262
51154	87
246181	4
22977	16
100506730	29
8574	194
54896	43
832	393
100532736	0
440574	82
644068	9
4681	4
3362	2
255104	52
54546	1
23252	134
30814	0
5320	38
5322	3
26279	0
64600	57
391013	0
127733	18
