Geneid	temporary/samtools/bam_files_sorted/SRR7959213_sorted.bam
100287102	2
653635	3
102466751	0
100302278	0
645520	0
79501	0
729737	6
102725121	0
102723897	12
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	1
81399	0
100133331	8
100288069	16
400728	45
79854	11
643837	104
284593	1
100130417	4
148398	6
26155	437
339451	79
84069	372
84808	112
57801	43
9636	17
375790	574
105369174	5
105378948	10
401934	4
54991	214
254099	2
406984	4
406983	5
554210	7
254173	26
8784	55
7293	8
51150	489
126792	97
388581	19
118424	237
6339	62
116983	1256
102465434	0
126789	93
54973	432
102465435	0
80772	117
83756	77
1855	425
102466740	0
54587	444
54998	153
81669	2542
148413	89
55052	280
441869	61
643965	1
102724312	9
64856	123
219293	7
83858	261
55210	100
339453	6
29101	233
643988	19
142678	427
8510	2
984	113
728661	267
8511	0
728642	115
9906	396
65220	298
2782	1617
105378949	8
163688	16
339456	7
85452	4
2563	6
5590	162
100506504	15
199990	116
105378592	56
6497	1188
105378594	40
79906	157
100129534	32
11079	758
5192	88
9651	104
55229	0
388585	2
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	10
63976	33
100422968	0
27237	110
1953	1514
693135	0
127262	419
49856	121
7161	159
57212	221
148870	1
388588	3
57470	290
9731	482
1677	60
339448	194
100133612	3
728716	0
284661	0
55966	40
100616489	0
100616421	3
261734	323
8514	175
26038	9
6146	1175
102724450	0
388591	50
23463	608
148645	3
390992	0
387509	137
11332	74
54626	187
83715	373
100422975	1
8718	470
57449	2182
79707	541
80835	8
3104	182
9903	550
148479	162
90326	64
55735	241
100505887	0
23261	216
9341	692
8863	937
10911	1
3604	11
11315	324
54206	331
102724539	0
50651	8
473	1209
102724552	12
2023	3133
102465436	0
100505975	1
765	278
155184	2
6518	46
80045	175
407040	1
9563	2214
80176	192
100506022	15
84275	33
199953	140
5293	123
644997	7
101929074	4
22883	1940
56998	1004
84328	238
64802	111
100847055	0
105376719	1
116362	57
10277	1165
23095	2166
100422970	0
